date | valuessss
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2012-01-11 | -2147483647
2012-01-11 | 1000
2009-01-03 | 3
2009-01-02 | -1
2009-01-01 | 10
2009-01-02 | 0     
2009-01-00 | 1
2012-01-11 | 2147483648
2011-01-03 | +inff
2011-01-03 | nanf
2011-02-6 | 120
02-02-6 | 120
2011-02-60 | 120
2018-12-16 | 1
2018-12-17 | 1
2018-12-20 | 1
2018-12-17 |1
2018-12-17 | xs
2018-12-17 | 12.5f
2018-12-17 | 999
2018-12-17 | 0 
2018-12-17 | 1000.0001
2018-12-17 | 999.5548
